vertical,medio_pago,promedio
41605 SALUD PAS INDIVIDUAL,PSE,100.25
41605 SALUD PAS INDIVIDUAL,TARJ. CREDITO,18.25
41605 SALUD PAS INDIVIDUAL,PSE LINK DE PAGO,0
41605 SALUD PAS INDIVIDUAL,TARJ. CREDITO LINK PAGO,0
41605 SALUD PAS INDIVIDUAL,MODULOS AUTOSERVICIOS,37
41605 SALUD PAS INDIVIDUAL,REDES,2.25
41605 SALUD PAS INDIVIDUAL,SAP,4.25
41607 CREDITO BANCOR,PSE,22.33
41607 CREDITO BANCOR,TUP,0
41607 CREDITO BANCOR,MODULOS AUTOSERVICIOS,0.44
41607 CREDITO BANCOR,REDES,0
41607 CREDITO BANCOR,SAP,0.33
41610 RED TIENDA,PSE,5.44
41610 RED TIENDA,TARJ. CREDITO,1.33
41610 RED TIENDA,TUP,76.11
41621 RED TIENDA,PSE (PAYU),233.67
41621 RED TIENDA,TARJ. CREDITO (PAYU),57.44
41621 RED TIENDA,REDES,0.11
41621 RED TIENDA,CUPOYA,0.56
